field_count,name,habitat,mon,year,sex,age,soil,slope,aspect,origarea,agescale,slopescale,aspectscale,origareascale
0,Bruiser,Pasture,Apr,2010,male,5,AminDP,5.3,186.15,1.5063,0.444379672,-1.632200069,18.22620825,-1.947982628
0,Bruiser,Unknown,Apr,2010,male,5,AminDP,6.24,113.29,1.1911,0.444379672,-0.692200069,-54.63379175,-2.263182628
0,Bruiser,Pasture,Apr,2010,male,5,AminDP,6.63,210.19,4.2686,0.444379672,-0.302200069,42.26620825,0.814317372
0,Bruiser,Pasture,Apr,2010,male,5,AminSP,4.95,261.23,1.1522,0.444379672,-1.982200069,93.30620825,-2.302082628
0,Bruiser,Pasture,Apr,2010,male,5,AminSP,6.2,144.33,2.0004,0.444379672,-0.732200069,-23.59379175,-1.453882628
4,Bruiser,Pasture,Apr,2010,male,4,AminDW,9,157.87,3.2275,-0.555620328,2.067799931,-10.05379175,-0.226782628
0,Bruiser,REPS Habitat,Apr,2010,male,5,AminSW,9.1,14.29,0.3069,0.444379672,2.167799931,-153.6337917,-3.147382628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,10.29,93.89,3.2996,0.444379672,3.357799931,-74.03379175,-0.154682628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,7.95,40.85,1.8067,0.444379672,1.017799931,-127.0737917,-1.647582628
0,Bruiser,Pasture,Apr,2010,male,5,AminSW,4.54,77.18,0.7622,0.444379672,-2.392200069,-90.74379175,-2.692082628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,8.6,79.17,2.7435,0.444379672,1.667799931,-88.75379175,-0.710782628
0,Bruiser,Pasture,Apr,2010,male,5,AminSW,7.93,75.09,2.3793,0.444379672,0.997799931,-92.83379175,-1.074982628
0,Bruiser,Pasture,Apr,2010,male,5,AminDP,8.28,176.24,6.4551,0.444379672,1.347799931,8.316208253,3.000817372
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,6.31,150.63,4.1637,0.444379672,-0.622200069,-17.29379175,0.709417372
0,Bruiser,Pasture,Apr,2010,male,5,AminSW,12.25,201.28,3.8129,0.444379672,5.317799931,33.35620825,0.358617372
0,Bruiser,Human,Apr,2010,male,5,AminSP,21.49,217.68,0.4404,0.444379672,14.55779993,49.75620825,-3.013882628
0,Bruiser,Uncultivated,Apr,2010,male,5,AlluvMIN,4.89,182.58,2.3458,0.444379672,-2.042200069,14.65620825,-1.108482628
2,Bruiser,Pasture,Apr,2010,male,4,AminDP,5.33,109.39,6.9771,-0.555620328,-1.602200069,-58.53379175,3.522817372
0,Bruiser,Pasture,Apr,2010,male,5,AminDP,3.26,188.07,0.276,0.444379672,-3.672200069,20.14620825,-3.178282628
0,Bruiser,Pasture,Apr,2010,male,5,AminDP,3.83,276.09,0.7226,0.444379672,-3.102200069,108.1662083,-2.731682628
1,Bruiser,Pasture,Apr,2010,male,4,AminDP,5.58,135.8,2.9631,-0.555620328,-1.352200069,-32.12379175,-0.491182628
0,Bruiser,Pasture,Apr,2010,male,5,AminSP,5.68,131,1.3289,0.444379672,-1.252200069,-36.92379175,-2.125382628
0,Bruiser,Woodland,Apr,2010,male,5,AminSP,6.64,131.07,3.1832,0.444379672,-0.292200069,-36.85379175,-0.271082628
0,Bruiser,Woodland,Apr,2010,male,5,AminSW,3.06,201.25,2.4901,0.444379672,-3.872200069,33.32620825,-0.964182628
1,Bruiser,Woodland,Apr,2010,male,4,AminDP,5.97,171.34,10.0759,-0.555620328,-0.962200069,3.416208253,6.621617372
0,Bruiser,Human,Apr,2010,male,5,AminSW,6.5,166.04,7.8842,0.444379672,-0.432200069,-1.883791747,4.429917372
0,Bruiser,Unknown,Apr,2010,male,5,AminDW,5.1,183.01,0.5489,0.444379672,-1.832200069,15.08620825,-2.905382628
0,Bruiser,Unknown,Apr,2010,male,5,AminDW,6.65,111.78,1.0883,0.444379672,-0.282200069,-56.14379175,-2.365982628
2,Bruiser,Woodland,Apr,2010,male,4,AminSP,8.89,118.92,1.8821,-0.555620328,1.957799931,-49.00379175,-1.572182628
2,Bruiser,Pasture,Apr,2010,male,4,AminSW,7.47,151.2,5.1791,-0.555620328,0.537799931,-16.72379175,1.724817372
1,Bruiser,Pasture,Apr,2010,male,4,AminDW,9.05,106.95,6.9957,-0.555620328,2.117799931,-60.97379175,3.541417372
0,Bruiser,Unknown,Apr,2010,male,5,AminDW,8.26,220.01,2.7577,0.444379672,1.327799931,52.08620825,-0.696582628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,5.34,246.35,1.6144,0.444379672,-1.592200069,78.42620825,-1.839882628
0,Bruiser,Pasture,Apr,2010,male,5,AminDP,6.49,188.03,1.2102,0.444379672,-0.442200069,20.10620825,-2.244082628
0,Bruiser,Unknown,Apr,2010,male,5,AminSW,3.93,110.17,0.4555,0.444379672,-3.002200069,-57.75379175,-2.998782628
3,Bruiser,Unknown,Apr,2010,male,4,AminSP,5.45,202.15,3.2376,-0.555620328,-1.482200069,34.22620825,-0.216682628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,4.1,173.75,5.674,0.444379672,-2.832200069,5.826208253,2.219717372
0,Bruiser,Unknown,Apr,2010,male,5,AminDP,4.93,81.37,1.017,0.444379672,-2.002200069,-86.55379175,-2.437282628
0,Bruiser,Human,Apr,2010,male,5,AminSP,4.67,168.29,0.6657,0.444379672,-2.262200069,0.366208253,-2.788582628
0,Bruiser,Human,Apr,2010,male,5,AminDW,2.66,229.41,0.207,0.444379672,-4.272200069,61.48620825,-3.247282628
0,Bruiser,Pasture,Apr,2010,male,5,AminSW,3.69,214.87,0.4633,0.444379672,-3.242200069,46.94620825,-2.990982628
0,Bruiser,Human,Apr,2010,male,5,AminDP,8.01,159.27,1.1834,0.444379672,1.077799931,-8.653791747,-2.270882628
0,Bruiser,Human,Apr,2010,male,5,AminDW,5.5,164.74,0.1776,0.444379672,-1.432200069,-3.183791747,-3.276682628
0,Bruiser,Human,Apr,2010,male,5,AminDW,6.08,8.75,0.0688,0.444379672,-0.852200069,-159.1737917,-3.385482628
8,Bruiser,Arable,Apr,2010,male,4,AminSP,3,168.75,1.094,-0.555620328,-3.932200069,0.826208253,-2.360282628
