"y","a","b","c","d","e"
120,0,112,1,4892,21
131,0,111,1,10988,18
132,0,123,0,4159,17
82,0,129,0,6737,8
132,0,121,1,10989,18
102,0,121,0,11511,2
109,0,114,1,7179,19
109,0,116,0,11797,2
87,0,108,1,11442,2
98,0,114,0,5756,20
109,0,108,0,10327,10
112,0,121,0,8400,11
87,0,110,0,1005,16
102,0,122,1,1939,12
62,0,111,0,2589,4
112,0,120,0,4821,21
98,0,114,0,6160,3
112,0,131,0,7181,19
102,0,131,1,4822,21
87,1,117,1,1940,12
142,1,131,1,3315,14
102,0,127,1,10328,10
109,1,111,0,90,15
102,1,122,0,4824,21
109,0,113,1,1007,16
120,0,113,1,8401,13
98,0,108,0,6738,8
92,0,127,0,6161,3
109,0,115,1,4264,17
132,0,120,0,5713,20
82,0,129,1,6162,3
109,0,114,1,4825,21
82,0,121,1,5494,20
92,0,123,1,10518,10
131,0,116,1,6163,3
98,1,113,0,5037,21
102,0,120,1,5495,20
138,0,129,1,11444,2
102,0,123,0,10330,10
92,0,123,1,8402,11
98,0,116,1,6165,3
72,0,129,1,9829,9
109,0,108,0,9421,1
102,0,122,1,1009,16
98,0,112,1,6166,3
98,0,110,0,7182,19
112,0,122,0,3316,14
87,0,111,0,6167,3
131,0,116,1,3865,7
109,0,111,0,91,15
112,0,123,0,524,5
102,0,124,1,3318,14
112,0,120,0,1010,16
109,0,115,0,8404,11
109,1,113,0,10331,10
112,0,124,1,7722,13
132,0,131,0,5879,20
109,0,118,0,4827,21
87,0,117,0,7184,19
120,0,108,0,1348,16
87,0,114,1,5630,20
120,0,108,1,1011,16
109,0,108,0,4265,17
112,0,124,0,4266,17
102,0,121,1,4267,17
92,1,125,1,7758,13
98,0,112,1,6168,3
131,0,115,1,11362,2
87,0,117,1,5882,20
153,1,129,1,11446,2
109,0,119,0,1014,16
131,0,114,1,1015,16
132,1,128,1,10990,18
122,0,131,1,526,5
92,0,121,0,525,5
92,0,125,0,10991,18
109,0,119,1,9830,9
92,0,126,1,10407,10
109,0,111,1,11447,2
98,0,118,1,2591,4
131,0,109,0,1016,16
122,0,124,1,5499,20
98,0,116,1,7186,19
98,0,113,1,4268,17
142,0,115,0,5501,11
112,0,125,1,10333,21
92,0,124,1,3866,7
109,1,110,1,2592,4
87,0,109,0,92,15
98,0,119,1,4828,21
82,0,122,0,6169,3
98,0,117,1,8870,6
109,0,110,0,1017,16
112,0,123,1,10334,10
109,1,112,0,8405,11
102,0,127,0,2593,4
77,0,109,0,10335,10
92,0,124,1,8406,11
109,0,113,1,7724,13
118,0,107,1,3867,7
112,0,131,0,10993,18
120,0,116,1,1196,16
112,0,127,0,8871,6
112,0,131,1,9831,9
98,0,113,0,8872,6
102,0,124,0,11449,2
112,1,124,1,6170,3
132,0,131,1,8407,11
112,0,128,0,6172,3
120,0,114,0,2594,4
112,0,127,1,8873,6
120,0,113,0,4269,17
98,0,114,0,7725,13
142,0,130,0,7667,13
82,0,124,0,7188,19
112,0,124,1,11836,2
142,0,122,1,7108,19
92,0,120,0,9832,9
112,0,131,1,8874,6
82,1,130,0,6173,3
98,0,108,1,9422,1
131,0,112,1,4270,17
98,1,118,1,6174,3
98,0,114,1,3320,14
120,0,112,1,11788,2
72,0,128,1,4064,7
98,0,109,0,9833,9
134,0,132,1,4271,17
102,1,123,0,7190,19
120,1,108,0,94,15
109,0,112,1,4273,17
109,0,114,0,7192,19
98,NA,118,0,10995,18
109,0,118,0,3366,14
122,0,121,0,8875,6
112,0,130,1,1941,12
132,0,122,1,4275,17
98,1,109,0,6175,3
109,0,110,1,4829,21
92,0,125,0,2596,4
98,0,110,0,2597,4
109,0,112,1,8408,11
98,0,111,1,6176,3
112,0,120,1,1942,12
109,0,112,0,7726,13
92,0,121,1,6177,3
102,NA,128,0,8029,13
82,0,122,0,10336,10
109,0,108,1,4830,21
92,0,121,1,7728,13
98,0,118,1,8409,11
87,0,108,1,10337,10
112,0,128,1,10338,10
92,1,131,0,6739,8
109,0,114,0,8410,11
87,0,109,1,6178,3
109,0,118,0,4276,17
82,1,131,0,95,15
122,0,124,1,4091,7
132,0,131,1,9834,9
132,0,130,0,1020,16
102,0,121,0,10339,10
122,0,124,0,4277,17
92,0,124,0,1021,16
98,0,114,1,9423,4
120,0,111,0,6741,8
112,0,128,0,9835,9
98,0,115,1,10340,10
98,0,109,0,10996,18
102,1,131,1,96,15
109,0,108,0,10341,10
120,0,109,1,1022,16
98,0,114,1,527,5
112,0,128,0,10601,10
109,0,113,0,1943,12
122,0,120,0,7729,13
142,0,125,1,4278,17
98,0,114,0,4831,21
120,0,110,1,8411,11
102,0,129,1,8412,11
98,0,108,1,3870,7
142,0,115,1,10343,10
112,0,120,1,9837,9
92,NA,127,0,10997,18
118,0,107,0,4833,21
112,0,125,1,1945,12
109,1,112,0,8877,6
109,0,116,1,10344,8
109,0,113,1,11452,2
109,0,112,0,8413,16
122,0,118,0,528,5
87,0,111,0,6179,3
92,1,121,1,2598,4
120,0,108,0,862,16
142,0,113,1,8415,11
109,0,111,0,8095,13
131,0,108,1,7731,13
102,0,122,0,4834,21
122,0,131,1,3323,14
98,0,108,1,10345,10
109,0,118,1,3259,14
120,0,115,0,1023,16
102,0,126,1,10346,10
109,1,116,1,5502,20
105,0,132,0,993,16
112,1,122,1,775,5
122,1,126,1,10998,18
92,0,131,0,7499,19
102,0,130,1,1946,12
134,0,131,1,1024,16
109,0,113,1,7732,13
122,0,124,0,1025,16
92,0,126,0,10347,10
92,0,126,1,1415,16
95,0,107,0,6742,8
173,0,131,0,4279,17
109,0,108,0,2594,4
102,0,122,1,7733,13
112,1,131,0,3324,14
120,0,110,1,8878,6
112,0,120,0,1027,16
109,1,116,0,6743,8
131,0,116,1,1028,16
112,0,125,1,8443,11
102,0,127,1,4835,21
NA,0,110,0,9790,9
163,0,126,1,11453,2
98,0,112,1,3871,7
109,0,115,0,4836,21
92,0,122,1,7734,13
109,0,114,1,9838,9
98,0,111,1,9424,1
109,0,108,1,1947,12
120,0,118,0,11455,4
102,0,130,0,47,15
112,0,121,1,1030,16
132,0,131,1,3326,14
92,0,127,1,2599,4
112,0,125,0,7735,13
102,0,121,0,3327,14
98,1,119,1,1948,12
98,0,112,0,5504,20
72,0,123,1,97,15
87,0,116,1,1032,16
112,0,125,0,4280,17
92,0,127,1,3329,14
102,0,131,1,3780,14
132,0,120,1,3332,14
112,0,125,1,11457,2
120,0,115,0,6744,8
102,1,120,1,7736,13
120,0,110,0,1142,16
92,0,124,0,1371,16
72,0,123,0,3924,7
112,0,120,1,7832,13
87,0,112,1,10750,10
120,0,109,1,3925,7
105,0,132,0,3402,14
109,0,118,1,1145,16
92,0,124,0,10419,10
102,0,129,0,4337,17
82,0,120,0,6779,8
87,0,111,0,6780,8
153,0,117,0,4893,21
102,0,126,0,10420,10
131,0,110,0,4894,21
98,0,111,0,8959,6
98,0,108,1,2690,4
112,1,124,0,5598,20
98,0,112,1,568,5
102,0,128,0,136,15
122,0,130,1,11854,2
105,1,132,0,11521,2
122,0,130,1,1437,16
132,0,128,0,1148,16
98,0,112,0,9461,1
109,0,116,0,9905,9
98,1,116,0,4895,21
109,0,108,1,1150,16
109,0,109,0,8470,11
109,0,117,1,4896,21
92,0,130,0,10421,10
92,0,122,0,9883,9
109,0,108,0,2017,12
98,1,108,0,2688,4
92,0,126,1,5743,20
112,0,126,1,9764,9
109,0,112,1,4350,17
77,0,114,1,9884,9
120,0,117,0,1152,16
109,0,109,1,8456,11
120,0,111,0,9885,9
109,1,116,0,7807,13
98,1,110,1,8457,11
87,0,109,1,1153,16
92,0,120,0,6247,3
112,0,122,0,137,15
82,0,127,1,10443,10
98,0,113,1,5604,20
122,0,122,1,8472,11
98,0,111,1,5531,20
98,0,119,0,569,5
77,1,132,0,7267,19
122,0,124,0,6781,8
109,0,109,1,11037,18
102,0,131,0,11523,2
109,1,118,0,5582,20
131,0,112,0,4338,17
132,0,124,1,6782,8
NA,0,125,1,138,15
87,0,111,0,8960,6
112,0,123,0,5875,20
109,0,109,0,11551,2
120,0,108,1,2705,4
109,1,112,1,11771,2
120,0,113,1,8954,6
112,0,131,0,3403,14
98,0,108,0,8945,16
112,0,131,1,11525,2
92,1,128,1,5583,20
122,0,122,0,6248,3
132,0,127,0,3404,14
112,0,127,0,6249,3
98,1,109,1,5947,20
109,0,109,1,4923,21
77,0,112,0,8473,11
109,0,108,1,1706,16
96,NA,132,0,9886,9
87,0,119,1,2273,12
132,0,122,1,1155,16
122,0,128,0,7808,13
102,1,120,1,7810,13
98,0,114,1,400,15
102,0,124,1,4897,21
87,NA,108,0,7811,13
87,0,114,0,5601,20
120,0,110,1,11055,18
142,NA,121,0,11544,2
112,0,128,0,6250,3
109,0,109,1,1156,16
98,0,118,1,6251,3
102,1,121,1,11039,18
134,1,132,1,9462,1
120,0,110,1,4339,17
112,0,129,1,1158,16
120,0,117,1,8947,6
120,0,119,1,4340,17
66,0,109,0,2036,12
87,1,112,0,2042,12
120,0,108,1,11040,18
131,0,109,0,9887,9
92,0,125,0,8660,11
122,0,127,1,3405,14
82,0,120,1,8948,6
98,0,108,0,4341,17
109,0,117,0,570,5
115,0,132,1,5294,21
109,0,118,1,5542,20
98,0,112,0,3249,14
131,0,110,1,11545,2
109,0,119,0,5423,20
102,0,121,1,3406,14
98,0,113,1,7269,19
98,0,114,0,11664,2
109,0,108,0,2690,4
92,0,130,1,11529,2
132,0,123,0,4342,17
92,0,120,1,8949,6
112,0,128,1,6181,3
87,0,111,0,8798,6
122,0,130,1,3872,7
98,0,111,1,7737,13
131,0,114,1,98,15
132,0,124,1,9425,1
131,0,108,0,9839,9
98,1,113,0,6182,3
131,0,111,1,6745,8
98,0,108,1,6746,8
112,0,121,0,1949,12
92,0,125,1,8879,6
142,1,117,1,4837,21
122,0,129,1,4674,15
122,0,122,0,3333,14
92,0,120,1,3748,14
112,1,116,1,9840,9
120,0,119,0,6183,3
142,0,119,1,7738,13
131,0,118,0,8880,6
131,1,115,1,1950,12
87,0,119,1,3468,14
120,0,119,1,5506,20
98,0,108,0,1035,16
142,0,108,0,9426,1
131,0,115,0,9841,9
112,0,131,1,1386,16
142,0,119,1,11703,2
98,1,112,1,6184,3
132,1,125,1,4838,21
109,0,110,0,7739,13
82,1,120,0,7740,13
102,1,122,1,8881,6
183,0,131,1,1038,16
92,0,131,1,3873,7
120,0,118,1,1039,16
98,1,109,0,8418,11
87,0,110,1,8417,11
102,0,124,0,8419,11
153,0,118,1,11460,2
122,0,124,1,3337,14
102,0,126,1,6747,8
98,0,108,0,8882,6
153,0,115,0,4839,21
98,0,108,1,8765,6
98,1,110,0,2600,4
92,0,120,0,9843,9
120,0,118,1,1040,16
92,0,126,0,530,5
92,0,123,0,6185,3
NA,0,108,1,1322,16
112,1,127,0,8420,11
92,0,124,1,99,15
132,0,121,1,9844,9
132,0,122,1,8883,6
122,0,129,1,10851,10
131,0,116,0,6186,3
109,NA,108,1,2602,4
109,0,110,0,10999,18
112,0,125,1,3339,14
92,1,121,0,4283,17
102,0,127,0,5508,20
72,0,126,0,6187,3
112,0,127,1,2603,4
102,0,123,1,6188,3
92,0,125,1,1951,12
98,0,110,0,8884,6
102,0,129,1,1042,16
NA,0,131,0,9845,9
131,0,111,0,7741,13
98,0,109,1,11000,18
98,0,115,1,9385,1
87,0,117,1,100,15
122,0,125,0,1953,12
112,0,131,1,1391,16
163,0,130,0,8561,11
98,0,109,1,2604,4
98,0,108,0,4840,21
92,0,131,0,3341,14
77,0,114,1,10349,10
92,0,127,0,1044,16
82,0,126,0,10351,10
112,0,120,1,8885,6
131,1,118,0,4284,17
87,0,109,0,1955,12
102,0,124,0,1045,16
122,0,131,0,3283,14
112,0,130,1,1035,16
109,0,116,1,5509,20
87,0,110,0,11001,18
109,0,111,1,531,5
96,0,132,0,6189,3
102,0,122,1,3567,14
120,0,110,0,8886,6
112,0,123,1,1047,16
98,0,110,0,1430,16
98,0,116,1,1049,16
112,0,122,0,9846,9
82,0,122,0,2605,4
98,0,108,0,8422,11
92,0,127,0,11002,18
98,0,119,0,1956,12
122,0,123,0,11473,2
122,0,129,0,9427,1
102,NA,125,1,2814,4
98,0,108,1,2608,4
87,0,118,1,10352,10
87,0,111,1,9847,9
102,0,129,0,1957,12
102,0,130,0,11418,2
87,0,109,1,2610,4
109,0,108,1,1958,12
92,0,128,0,2611,4
120,0,115,1,1051,16
98,0,112,1,4285,17
66,0,109,0,8423,11
98,0,108,0,10353,10
92,1,125,1,5511,20
92,0,119,0,7194,19
120,0,115,1,10354,10
92,1,128,0,2612,4
112,0,122,1,532,5
92,0,126,1,6190,3
109,0,119,1,2613,4
122,1,126,0,8887,6
112,0,127,1,4842,21
153,0,111,1,4286,17
102,0,121,1,101,15
112,0,128,0,700,5
142,0,110,0,7742,13
92,0,127,0,1959,12
120,0,119,1,11003,18
183,0,131,1,1241,16
98,0,117,0,6191,3
102,0,122,0,1053,16
102,0,122,1,4843,21
109,0,118,1,4287,17
122,0,129,0,6192,3
98,0,108,1,7743,13
120,1,111,0,7744,13
142,0,127,0,4288,17
98,1,114,0,9848,9
120,0,111,1,5513,20
87,NA,108,1,102,15
92,0,128,1,3344,14
120,0,113,0,2614,4
102,1,121,1,3441,14
106,0,107,0,1054,16
132,0,131,1,3829,7
92,1,131,1,10232,10
130,0,107,0,9849,9
82,0,121,1,1960,12
122,0,130,0,3425,14
102,0,120,1,1962,12
77,NA,112,1,1963,12
92,0,127,1,9428,1
102,0,129,0,1055,6
120,0,115,0,7745,13
92,0,121,0,3348,14
131,0,114,1,3874,7
98,0,108,1,6748,8
109,0,113,1,1056,16
112,0,127,0,3553,14
102,1,124,0,3875,7
92,0,124,1,7195,19
92,0,120,0,1964,12
77,1,113,0,104,15
98,0,112,0,11464,2
92,0,127,0,6653,3
55,0,110,0,9430,1
87,0,116,0,7034,19
122,0,122,0,10355,10
87,0,108,1,4289,11
109,1,118,0,10356,10
NA,0,109,1,3876,7
109,1,118,0,7197,19
92,0,129,0,10658,10
82,0,130,0,4844,21
112,0,129,0,7761,13
77,0,132,1,10358,10
NA,0,129,1,11466,2
122,0,128,0,9431,1
109,0,116,1,7747,13
77,1,116,1,7199,19
102,NA,131,1,3351,14
109,0,111,0,1965,12
112,0,123,0,10359,10
109,0,119,0,2615,4
120,0,108,1,4845,21
92,NA,120,0,4290,17
120,0,111,0,6194,3
112,0,124,1,4846,21
131,0,114,1,3000,4
98,0,112,0,1057,16
92,1,125,0,5836,20
102,1,126,0,5516,20
109,0,108,0,7748,13
NA,0,126,1,7072,19
92,0,128,0,3877,7
132,0,125,1,4291,17
98,0,114,0,7200,19
109,0,110,0,4847,21
122,0,128,0,909,16
102,1,123,1,6749,8
98,0,114,1,7202,19
122,0,125,0,9850,9
109,0,119,0,534,5
109,0,115,0,4292,17
102,1,130,0,105,15
109,0,110,1,6195,3
102,0,125,1,3220,14
109,0,108,1,8888,6
44,0,111,1,535,5
109,0,111,0,6750,8
120,1,115,0,5953,20
77,NA,112,1,5519,20
120,0,108,0,4293,17
112,1,130,1,8424,11
98,0,110,1,10360,10
98,0,108,0,6196,3
92,0,129,1,106,15
122,0,131,0,11468,2
120,0,117,0,8890,6
92,0,120,0,8891,6
98,0,117,0,2617,4
98,0,110,1,11004,18
102,0,125,1,8426,11
153,1,113,1,8427,11
122,0,129,1,1271,16
98,0,114,1,7038,19
109,0,109,1,7750,13
98,0,116,1,8893,6
NA,0,112,0,3878,7
120,0,108,0,4294,17
120,1,113,1,536,5
NA,0,107,1,11348,2
142,0,125,0,1966,12
142,0,129,1,1059,16
92,0,122,1,10362,10
120,0,108,1,7751,13
82,0,120,0,5520,20
92,0,125,0,6197,3
112,0,120,0,3879,7
102,0,124,1,3880,7
102,0,126,0,1060,16
112,0,124,1,6198,3
98,0,109,0,8394,11
105,0,132,1,5522,20
132,0,124,0,1370,16
142,0,115,1,10363,10
109,1,116,1,2618,4
102,0,129,1,2651,4
131,0,120,1,1967,12
102,0,124,0,1062,16
112,1,125,1,5511,20
120,0,109,0,1968,12
102,0,122,0,3881,7
131,0,108,0,4218,17
112,0,121,0,2620,4
131,0,115,1,4296,17
122,0,120,1,7752,13
109,0,111,0,7753,13
142,0,119,1,10364,10
98,0,110,1,7754,13
122,0,130,1,1063,16
120,0,114,1,11005,18
102,0,126,1,10915,10
109,0,112,1,4297,17
109,0,109,1,1064,16
102,1,123,1,2706,4
122,0,123,0,8955,6
87,0,119,1,1185,16
102,0,128,1,2037,12
98,NA,110,0,10444,10
122,1,130,1,11041,18
87,0,108,0,10422,10
98,1,112,0,139,15
132,0,130,1,11043,18
102,1,124,1,8459,11
102,0,131,1,11846,2
98,0,109,1,9889,9
132,0,125,0,8460,11
102,0,126,0,5585,20
92,0,124,1,3352,14
132,0,131,0,6266,3
122,0,121,0,4351,17
132,0,123,1,2039,12
153,0,116,1,9615,1
109,0,110,1,7812,13
98,0,110,0,9464,1
109,0,112,0,2020,12
109,0,111,0,571,5
92,NA,129,1,140,15
120,0,112,1,7271,19
102,0,120,0,11044,18
109,0,113,0,11045,18
98,NA,119,0,7826,13
109,1,116,1,5572,20
82,NA,127,0,8217,13
142,0,130,1,4921,21
87,0,113,0,6252,3
109,0,114,1,4343,17
109,0,112,0,573,5
131,0,116,1,4344,17
112,0,121,0,2021,12
87,0,117,1,6274,3
102,0,128,1,5605,20
92,0,126,1,5606,20
92,0,126,0,6267,3
105,0,132,0,9890,9
112,1,124,1,8461,11
NA,1,129,1,4345,17
98,0,111,1,4899,21
77,0,111,1,574,5
98,0,119,0,2023,12
NA,0,120,1,9891,9
153,0,112,0,9892,9
120,0,118,1,9893,9
142,0,116,1,2692,4
87,0,115,0,142,15
112,0,127,1,11784,2
66,1,117,0,4900,21
112,0,120,1,9466,1
122,0,131,1,9894,9
102,0,126,0,7273,19
105,0,132,0,2693,4
120,1,109,1,11046,18
102,1,129,1,5586,20
109,1,108,0,3912,7
131,0,117,1,575,5
109,0,113,0,8950,6
102,0,124,1,2024,12
112,0,131,0,1162,16
109,0,118,0,6272,3
164,0,117,1,1176,16
98,0,108,0,4352,17
92,1,131,0,11553,2
102,0,122,1,7278,19
120,0,110,0,3408,14
92,1,125,0,7055,19
109,0,116,1,11533,2
109,0,111,0,2025,12
109,NA,112,1,11047,18
120,0,115,0,6253,3
98,0,108,0,7280,19
87,0,110,0,9906,9
131,0,114,1,1739,16
109,0,109,0,2710,4
112,0,130,0,4354,17
109,0,108,0,4346,17
112,0,123,1,1159,16
131,0,109,1,6254,3
102,1,131,1,10424,10
112,1,121,0,5587,20
112,1,127,0,4901,21
109,0,117,1,10425,10
102,0,128,0,7720,13
112,0,130,0,11054,18
77,1,115,1,3414,14
87,0,110,0,149,15
142,0,130,1,11535,2
122,0,125,0,10426,10
98,0,110,0,10427,10
87,0,111,1,143,15
109,0,118,1,9896,9
109,0,107,1,2026,12
122,0,127,0,4902,21
132,0,131,0,11523,2
72,0,122,1,154,15
102,0,123,0,2040,12
109,0,117,1,4903,21
92,1,129,1,4904,21
92,0,129,0,5693,20
102,0,125,0,5806,20
92,1,123,0,144,15
109,0,109,1,8865,6
87,0,114,1,10445,10
153,0,131,1,1160,16
112,0,127,0,7813,13
112,0,130,0,2694,4
98,0,118,1,4905,22
153,0,125,1,6783,8
109,0,114,0,4906,21
132,0,123,1,5591,20
77,1,108,0,2028,12
98,0,117,0,7275,22
98,0,113,0,10428,10
98,1,110,1,4298,17
NA,0,130,1,7203,19
120,0,119,1,9851,9
132,0,130,0,8894,6
120,0,111,0,8429,11
92,1,127,1,7204,19
120,0,119,1,9852,9
112,0,128,1,1065,16
102,1,123,1,4848,21
120,0,110,1,7755,13
122,0,131,1,1970,12
112,0,129,0,11007,18
112,0,129,1,6199,3
92,0,128,1,537,5
102,0,130,0,7206,19
112,0,131,1,1856,12
82,0,125,0,7756,13
98,1,118,0,1971,12
109,0,118,1,9853,9
82,0,127,1,11008,18
102,0,125,1,1972,12
98,0,116,0,9432,1
87,0,108,1,1066,16
120,0,117,1,3882,7
109,0,110,1,1067,16
87,1,108,1,2621,4
98,0,109,1,10366,10
92,0,123,1,6200,3
112,0,130,1,11776,2
98,1,110,0,1973,12
122,0,124,1,3352,14
102,0,123,1,3354,14
112,0,125,1,2622,4
120,0,117,1,4299,17
153,0,118,1,4849,21
153,0,112,0,1069,16
112,0,121,0,11009,18
98,0,118,0,6201,3
102,0,123,0,2623,4
112,0,125,0,9854,9
98,0,111,0,1070,16
98,0,119,1,1652,16
109,0,110,0,6202,3
98,0,113,0,7098,19
87,0,110,0,1072,16
132,0,120,0,7757,13
131,0,109,1,4850,21
120,0,115,0,3883,7
153,0,119,1,7759,13
87,1,112,1,7758,13
120,0,119,0,107,15
109,0,110,1,8895,6
105,0,132,0,1073,16
87,0,108,0,2625,4
109,0,108,0,8897,6
92,0,125,0,2626,4
92,0,125,1,2628,4
102,1,127,1,108,15
122,0,122,0,10367,10
83,0,107,1,400,15
82,0,130,1,4851,21
112,0,123,0,5524,20
98,0,111,0,2629,4
109,0,119,0,3884,7
142,0,126,1,1974,12
109,0,119,1,1975,12
98,0,117,0,4300,17
98,0,108,1,4301,17
92,0,120,1,6203,3
82,1,130,0,7760,13
98,0,108,0,6204,3
109,0,118,1,6205,3
62,0,125,1,5525,20
72,0,120,1,9433,1
98,0,109,1,4302,17
122,0,127,0,1075,16
122,0,127,1,5937,20
102,1,122,0,7208,19
102,0,127,0,5527,20
82,1,129,1,3886,7
102,0,124,0,8898,6
109,0,117,0,7337,19
72,0,121,1,3887,7
82,0,120,0,9434,1
142,1,119,1,7211,19
142,0,131,0,4303,17
87,0,114,1,5528,20
102,0,122,1,5529,20
120,0,110,0,4304,17
92,0,130,0,7206,19
92,0,125,0,7075,19
163,0,121,0,3888,7
92,NA,121,1,4305,17
98,0,118,0,6206,3
98,0,114,1,3984,7
153,0,127,1,3481,14
102,1,129,1,5730,20
102,1,122,1,4306,17
98,0,115,1,11471,2
109,NA,115,0,11010,6
82,1,124,0,3890,7
98,1,108,1,10368,10
131,1,118,0,8899,6
98,0,117,1,6306,3
102,0,127,1,9589,1
98,0,109,1,10370,10
112,0,127,1,6208,3
132,0,124,1,3357,14
122,0,126,1,11011,18
102,NA,128,1,1976,12
109,0,109,0,11473,2
112,0,129,0,3760,14
109,0,111,1,5531,20
98,0,111,1,3891,7
131,0,108,1,7761,13
98,0,108,0,2630,4
98,0,117,0,9436,1
112,1,120,1,2631,4
92,0,126,0,10371,10
112,0,122,1,3193,14
109,0,117,0,3359,14
98,0,108,1,1077,16
98,0,112,1,538,5
112,0,126,1,5533,20
131,0,109,1,4852,21
131,0,114,1,3892,7
92,0,124,0,2632,4
142,0,120,1,1978,12
98,0,116,1,7213,19
98,0,116,1,10372,10
109,0,114,0,1979,12
98,0,109,0,6209,3
109,0,112,0,7214,21
92,1,130,0,539,5
87,0,111,1,7762,13
77,0,113,0,6210,3
82,0,130,0,1980,12
87,0,109,0,7215,19
109,0,108,1,1078,16
102,0,126,1,4307,17
153,0,115,0,9855,9
109,1,118,1,6212,3
NA,0,113,1,10373,10
92,0,125,0,10374,10
122,0,130,1,7217,19
98,1,109,0,6170,3
132,0,131,0,8900,6
102,0,126,1,3508,14
142,0,108,0,4853,17
131,0,112,0,4854,21
92,0,123,1,1080,16
142,0,129,1,4308,17
109,0,114,1,10375,10
131,0,119,1,8901,6
112,0,128,0,1742,16
122,NA,123,0,7219,19
92,0,131,0,6213,3
112,1,120,0,11474,2
102,0,122,0,8902,6
132,0,124,1,2634,4
109,0,110,0,1082,16
82,0,129,1,10376,10
142,0,111,0,111,15
98,0,110,1,6214,3
109,0,108,1,2635,4
112,0,126,1,540,5
102,0,123,1,6478,3
102,0,126,1,8703,11
87,0,117,1,3893,7
109,0,109,0,4309,17
106,0,107,1,6931,8
92,1,120,0,4855,21
109,0,117,1,3631,14
109,0,109,1,11012,18
87,0,115,0,4856,21
132,1,130,0,2637,4
122,0,120,1,1981,12
87,0,132,0,2639,4
112,0,126,1,4857,21
153,0,119,1,4310,17
98,0,108,0,4806,21
92,0,127,0,2641,4
109,0,108,0,1907,12
92,0,130,1,6216,3
98,1,117,0,112,15
87,1,110,0,7763,13
92,1,124,1,1083,16
142,0,131,1,1982,12
77,0,111,0,2642,4
142,0,119,0,8903,6
98,0,109,1,6217,3
120,0,117,0,6218,3
87,0,109,0,6219,3
92,0,129,0,8904,6
98,0,109,0,9856,9
122,0,126,1,5534,20
98,1,114,1,8905,6
120,0,114,0,8906,6
112,0,129,0,1085,16
92,0,129,0,9857,9
NA,1,125,1,7116,19
92,0,120,1,8907,6
82,0,123,1,6753,8
109,0,110,1,8908,6
142,0,126,1,7765,13
122,0,131,0,7221,19
122,0,127,0,1086,16
72,0,125,1,113,15
142,0,113,1,11013,18
98,0,110,1,11014,18
131,0,109,0,8431,11
98,0,111,1,4858,21
109,0,113,1,7766,13
102,0,121,0,11476,2
98,0,109,0,7767,13
109,0,110,1,6220,3
122,1,130,1,11015,18
92,1,130,1,7768,13
92,0,131,0,3928,7
92,0,124,0,9858,9
142,0,131,0,4311,17
131,0,118,1,2643,4
131,0,108,1,2644,4
98,0,110,0,6754,8
98,0,113,0,1983,12
109,0,113,0,7769,13
87,0,115,1,9437,1
120,0,109,1,7770,13
72,1,118,0,115,15
98,0,119,0,1087,16
87,0,113,0,10377,10
98,0,116,0,1088,16
120,0,112,0,2646,4
106,0,107,0,7223,19
92,1,131,1,3362,14
142,0,110,0,7771,13
109,0,119,1,3363,14
122,0,124,0,7772,13
122,0,131,0,6755,8
87,1,110,1,1090,16
92,0,131,1,8131,13
132,0,123,1,7774,13
131,0,119,0,2648,4
132,0,131,0,3579,14
109,1,114,1,4312,17
82,1,126,1,4313,17
98,0,111,0,9438,1
112,0,131,1,11016,18
92,0,122,0,1985,12
98,0,119,0,6221,3
120,0,111,1,7775,13
98,0,115,1,5535,20
98,0,109,0,10452,10
92,0,124,0,1189,16
122,0,129,0,9911,9
92,0,129,1,2045,12
98,1,117,0,2046,12
112,0,128,1,2044,17
131,0,108,1,4359,17
92,1,124,1,8474,11
122,0,123,1,9910,9
153,0,108,1,10450,10
109,0,110,1,1188,16
102,0,123,0,5681,20
132,0,121,1,11060,18
112,0,122,0,8476,11
98,0,118,0,7839,13
112,0,131,1,1301,16
120,0,115,1,2055,12
122,0,123,1,4115,7
98,0,119,1,5608,20
102,0,127,0,5832,20
92,0,122,1,6275,3
92,0,130,1,8964,6
102,0,130,1,3421,14
98,1,117,1,1677,16
102,0,131,1,7290,19
98,0,113,0,4924,21
98,0,114,1,3423,14
112,0,131,0,1191,16
98,0,109,0,10453,10
87,0,112,0,7840,13
109,0,110,1,4362,17
92,0,131,1,6014,20
112,0,121,0,8038,13
98,0,118,0,9481,1
109,0,109,0,7834,13
87,NA,125,0,8965,6
142,0,130,0,2047,12
82,1,123,0,155,15
87,0,109,1,6627,3
142,0,129,1,8966,6
92,0,131,1,2534,4
102,0,125,1,1193,16
102,0,121,1,6791,5
82,0,117,1,4926,21
109,0,113,1,4928,21
122,1,126,1,1198,16
132,0,130,1,1194,16
66,1,113,0,2048,12
92,0,127,0,2711,4
112,0,127,0,9912,9
112,0,120,0,11056,18
102,0,131,1,6792,8
109,0,108,0,10456,10
87,1,113,1,5610,20
132,0,126,0,2050,12
109,0,118,1,2051,12
131,0,118,1,7836,13
87,0,117,0,6278,3
102,0,124,1,3470,14
98,NA,117,0,2052,12
98,0,116,1,156,15
131,0,115,0,157,15
112,0,123,1,1195,16
92,0,128,1,10455,10
109,0,109,0,9913,9
132,0,130,0,9914,9
102,0,121,1,1199,16
98,1,109,1,2712,4
NA,1,119,1,159,15
98,0,117,0,3931,7
